ID,Name,Type,Type2,HP,ATK,DEF,SPA,SPDE,SPD,Ability,Ability2
1,Bulbasuar,Grass,Poison,45,49,49,65,65,45,Overgrow,
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,Overgrow,
3,Venusaur,Grass,Poison,80,82,83,100,100,80,Overgrow,
4,Charmander,Fire,,39,52,43,60,50,65,Blaze,
5,Charmeleon,Fire,,58,64,58,80,65,80,Blaze,
6,Charizard,Fire,Flying,78,84,78,109,85,100,Blaze,
7,Squirtle,Water,,44,48,65,50,64,43,Torrent,
8,Wartortle,Water,,59,63,80,65,80,58,Torrent,
9,Blastoise,Water,,79,83,100,85,105,78,Torrent,
10,Caterpie,Bug,,45,30,35,20,20,45,Shield Dust,
11,Metapod,Bug,,50,20,55,25,25,30,Shed Skin,
12,Butterfree,Bug,Flying,60,45,50,80,80,70,Compound Eyes,
13,Weedle,Bug,Poison,40,35,30,20,20,50,Shield Dust,
14,Kakuna,Bug,Poison,45,25,50,25,25,35,Shed Skin,
15,Beedrill,Bug,Poison,65,80,40,45,80,75,Swarm,
16,Pidgey,Normal,Flying,40,45,40,35,35,56,Keen Eye,
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,Keen Eye,
18,Pidgeot,Normal,Flying,83,80,75,70,70,91,Keen Eye,
19,Rattata,Normal,,30,56,35,25,35,72,Run Away,Guts
20,Raticate,Normal,,55,81,60,50,70,97,Run Away,Guts
21,Spearow,Normal,Flying,40,60,30,31,31,70,Keen Eye,
22,Fearow,Normal,Flying,65,90,65,61,61,100,Keen Eye,
23,Ekans,Poison,,35,60,44,40,54,55,Intimidate,Shed Skin
24,Arbok,Poison,,60,85,69,65,79,80,Intimidate,Shed Skin
25,Pikachu,Electric,,35,55,30,50,40,90,Static,
26,Raichu,Electric,,60,90,55,90,80,100,Static,
27,Sandshrew,Ground,,50,75,85,20,30,40,Sand Veil,
28,Sandslash,Ground,,75,100,110,45,55,65,Sand Veil,
29,Nidoran,Poison,,55,47,52,40,40,41,Poison Point,
30,Nidorina,Poison,,70,62,67,55,55,56,Poison Point,
31,Nidoqueen,Poison,Ground,90,82,87,75,85,76,Poison Point,
32,Nidoran,Poison,,46,57,40,40,40,50,Poison Point,
33,Nidorino,Poison,,61,72,57,55,55,65,Poison Point,
34,Nidoking,Poison,Ground,81,92,77,85,75,85,Poison Point,
35,Clefairy,Normal,,70,45,48,60,65,35,Cute Charm,
36,Clefable,Normal,,95,70,73,85,90,60,Cute Charm,
37,Vulpix,Fire,,38,41,40,50,65,65,Flash Fire,
38,Ninetales,Fire,,73,76,75,81,100,100,Flash Fire,
39,Jigglypuff,Normal,,115,45,20,45,25,20,Cute Charm,
40,Wigglytuff,Normal,,140,70,45,75,50,45,Cute Charm,
41,Zubat,Poison,Flying,40,45,35,30,40,55,Inner Focus,
42,Golbat,Poison,Flying,75,80,70,65,75,90,Inner Focus,
43,Oddish,Grass,Poison,45,50,55,75,65,30,Chlorophyll,
44,Gloom,Grass,Poison,60,65,70,85,75,40,Chlorophyll,
45,Vileplume,Grass,Poison,75,80,85,100,90,50,Chlorophyll,
46,Paras,Bug,Grass,35,70,55,45,55,25,Effect Spore,
47,Parasect,Bug,Grass,60,95,80,60,80,30,Effect Spore,
48,Venonat,Bug,Poison,60,55,50,40,55,45,Compound Eyes,
49,Venomoth,Bug,Poison,70,65,60,90,75,90,Shield Dust,
50,Diglett,Ground,,10,55,25,35,45,95,Sand Veil,Arena Trap
51,Dugtrio,Ground,,35,80,50,50,70,120,Sand Veil,Arena Trap
52,Meowth,Normal,,40,45,35,40,40,90,Pickup,
53,Persian,Normal,,65,70,60,65,65,115,Limber,
54,Psyduck,Water,,50,52,48,65,50,55,Damp,Cloud Nine
55,Golduck,Water,,80,82,78,95,80,85,Damp,Cloud Nine
56,Mankey,Fighting,,40,80,35,35,45,70,Vital Spirit,
